"","state","year","pop","assault","burglary","rape","theft","vehicleTheft","murder","robbery"
"1414","south carolina",1976,2941304,43.5691108433538,150.4332772131,3.09046599739435,242.382290303892,24.291946701191,1.12535120477176,10.233556273
"1415","south carolina",1977,2988908,46.6993296548438,155.264062995582,3.17841833873776,225.393354362195,23.5805183699197,1.14757630546005,10.1910129050476
"1416","south carolina",1978,3041015,46.9612941731626,143.797383439411,3.39360378031677,238.315167797594,26.4977318428222,1.10489425405662,9.71715035933726
"1417","south carolina",1979,3086840,49.7563851705952,143.058921097303,3.25899625506991,245.581241658136,28.132329502015,1.19215767581086,10.2240478936388
"1418","south carolina",1980,3132387,48.2347806959996,163.380195359003,3.6649366760876,274.247722264203,29.9420218510676,1.11097383560844,11.5566818531682
"1419","south carolina",1981,3179269,47.1554939201433,158.90445256441,3.61089294425857,279.58313687832,27.4276885661452,1.03797445261788,11.9681599763971
"1420","south carolina",1982,3207614,54.713565909115,148.870780586442,3.87203697202968,286.845611722608,27.7340103890306,1.08491857187305,12.2240394261903
"1421","south carolina",1983,3234093,47.1322253256168,130.679606306931,3.53731324362039,264.373968219219,24.1984383256759,0.992550306994882,10.5902953316432
"1422","south carolina",1984,3271923,47.5714128969416,124.226639807844,4.06183152843145,259.03115690681,24.0561895863686,0.932173526088481,10.4158930390477
"1423","south carolina",1985,3303250,49.3120411715734,127.011276772875,4.19284038446984,273.24604556119,26.2680693256641,0.920305759479301,9.51487171724816
"1424","south carolina",1986,3342740,53.0762189102353,135.445772031328,4.17322316423054,287.584436719577,27.9531163057851,0.870543326731962,10.054625845863
"1425","south carolina",1987,3380520,51.7523931229515,137.585341900063,4.42831280394732,289.576751505686,28.4512441872848,0.940683681800433,10.243986132311
"1426","south carolina",1988,3412102,57.7767018688187,144.975150215322,4.37560190170165,302.027899517658,31.1889855578761,0.95249204156265,12.769254846426
"1427","south carolina",1989,3456772,63.7878344305034,141.501956160256,4.72116760955018,311.981814247512,34.7520750573078,0.925719139127487,13.2319979449035
"1428","south carolina",1990,3501155,75.6150470344786,137.474633370988,5.34966318257832,328.874328614414,38.424462784424,1.11391812130568,15.1749922525567
"1429","south carolina",1991,3570404,72.9021141585098,145.062015390975,5.87608573147465,335.491445785967,38.6006737612886,1.12592300479161,17.0624948885336
"1430","south carolina",1992,3620464,70.2561881570981,137.189597797409,5.72302334728366,320.914667291264,34.3685229296576,1.03025468558726,16.9812488123069
"1431","south carolina",1993,3663314,76.9085041577108,130.196319507419,5.20020942785685,320.892503345332,34.2067319372568,1.02912281065724,18.6306715722431
"1432","south carolina",1994,3705397,77.1712180908011,125.973006401203,5.37324340684682,329.92955950469,35.5805329361469,0.952664451339492,18.3974888520717
